"Data Source","World Development Indicators",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.23044","19.05967","18.94779","19.06977","18.43017","18.45109","18.0776","18.16434","17.41751","17.29188","17.08591","16.82253","15.08609","14.78869","","","","","","",
"Afghanistan","AFG","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","41.22332","39.10539","40.38314","38.32161","37.21537","37.30693","35.75747","","","","","","","","","","","","","36.40558","41.20965","","","48.67153","57.91294","","","","32.10315","33.18571","","","","","","","42.32602","42.7703","43.72982","42.83639","44.41709","43.51915","44.67743","45.71171","","44.32877","","44.00995","",
"Angola","AGO","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","44.38688","42.84184","40.89138","32.32685","","","","","","","","31.45022","36.82133","31.77187","29.81775","31.273","33.39832","32.57673","33.42115","","31.87673","27.18103","","","","","","41.75324","","","","","","","","","41.0124","","","45.58651","42.54306","","","","50.02951","","","",
"Albania","ALB","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.75761","","","22.56784","21.75244","","21.49541","","","","","19.4078","20.17793","19.70208","19.86917","19.48298","19.12103","18.92294","18.61557","18.19844","17.94478","",
"Andorra","AND","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","15.38732","","","","","","","","9.72676","","","","","","","","","","","","","","","","","","","12.67901","12.0758","12.65282","11.47472","10.4891","10.24769","10.02679","10.33256","9.64018","9.84526999999999","9.58236999999999","9.33028","9.51990999999999","9.93795","10.06635","10.5","",
"Arab World","ARB","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","31.32384","31.25279","31.1857","31.2173","31.06669","31.08668","30.72468","30.18436","29.96526","29.9341","29.50692","29.13675","28.76889","27.69443","27.39321","26.5695","26.12734","25.74528","25.6004","22.64058","24.05583","24.02971","23.52749","23.06103","23.57502","22.94976","23.19083","22.43811","22.56336","22.90503","22.39107","21.97019","21.79503","21.52638","21.24556","21.59295","21.35031","21.25966","20.899","21.01316","21.05595","20.36005","19.46822","19.21147","19.42318","19.56915","20.03295","20.32596","",
"United Arab Emirates","ARE","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","27.30645","23.68994","19.63619","17.17656","14.75211","16.3607","15.67131","16.04642","16.23312","16.25985","16.33794","21.48346","21.77902","24.01023","24.1961","24.84485","24.35787","24.96814","18.34669","18.08003","18.28038","17.63254","17.10681","17.02467","16.99968","16.53584","16.07066","15.85782","16.01551","16.14708","15.94765","15.27716","15.21595","15.00218","15.23077","15.47687","17.19022","","15.60016","16.83357","17.03397","18.18358","16.06864","18.93254","23.61794","24.52278","","",
"Argentina","ARG","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","19.24521","19.00165","18.77662","18.96393","19.10151","18.22059","18.07052","18.45777","","18.51625","20.23058","20.23262","20.32281","","20.27509","19.97819","20.00797","19.45186","19.25796","","","","","","17.53274","","16.73337","16.66847","19.92697","21.77841","20.05203","18.02999","17.596","","17.95223","17.44373","17.1849","16.36028","17.22969","","","","","","","","","","",
"Armenia","ARM","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.67076","","","20.61326","","19.0061","15.96615","15.9995","16.07076","","20.3441","20.34332","18.8372","20.26241","21.19732","21.24161","19.3076","","","","","","","","","","","",
"American Samoa","ASM","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","25.11017","","25.49091","23.78043","21.64122","26.04296","24.53865","24.50513","","","","","","","","","","","","","","","","","","","","","18.74101","","","","","","","21.50372","17.12889","16.22446","15.0656","14.51203","13.84503","","14.2465","14.33428","","","",
"Australia","AUS","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","25.11653","24.20741","23.59209","21.64596","20.82812","20.04911","19.46907","19.3371","18.8736","","18.72319","","","15.6073","","16.76363","16.59772","16.63185","16.75533","","16.59162","16.56896","16.58239","","18.14897","18.072","17.88299","17.8757","17.87578","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","21.43599","21.53882","21.26926","20.63155","20.27134","19.02794","","16.38821","17.08714","15.96325","14.54667","13.96851","13.2592","12.68624","12.16607","10.48049","10.36293","10.52307","10.73233","10.85945","10.81473","10.84969","11.42039","11.90393","11.68606","12.45371","12.22127","12.14873","13.45715","","","13.26801","13.1816","13.13389","12.40884","12.23292","11.86203","11.62932","11.36314","11.02831","10.89398","10.82489","10.7043","10.71766","10.58415","10.30374","","",
"Azerbaijan","AZE","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.78412","19.81668","19.5759","18.8577","18.98289","20.16771","20.00307","19.2807","18.77911","18.68574","17.12015","16.1852","15.26139","14.27144","13.44831","12.496","11.61559","11.29601","11.08342","11.04222","11.16445","11.92302","12.14857","12.62333","13.49787","15.48619","15.458","",
"Burundi","BDI","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","36.68174","36.0012","34.64138","31.50771","31.14162","30.86378","30.93946","32.43649","32.79685","34.55094","36.59854","39.30084","47.07764","52.30521","54.25925","56.20973","62.35171","70.73732","68.90551","65.87336","66.89942","65.85671","62.60442","","","45.01689","","47.85557","55.41274","55.35975","50.19719","49.07639","49.90569","51.24546","48.70398","54.18522","51.99833","","51.36121","50.6021","48.31143","47.10468","45.00022","43.65376","43.22109","49.66066","49.61434","",
"Belgium","BEL","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","19.76149","","","19.25364","","19.37154","19.22805","19.41801","19.00156","19.49122","18.13735","18.1932","","18.55194","16.82338","16.52609","","","","","","","12.35322","12.13049","","","","","","","","","","","11.4904","","","11.179","11.14094","11.03429","11.18924","11.20289","11.14292","11.23947","11.23127","11.30569","","",
"Benin","BEN","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","41.36824","44.25986","47.28752","45.79663","51.83347","53.42928","48.33616","46.41922","56.04299","54.58195","47.52639","38.94586","37.76215","35.28652","33.47894","33.01836","33.32516","33.43122","34.9071","30.54641","36.15587","39.84578","45.49681","48.34246","49.89695","51.99518","49.97689","52.56747","53.39559","52.64958","53.52288","52.96325","62.1705","51.583","46.8289","43.62338","","44.55301","44.86809","46.3918","44.20067","44.14979","43.72854","45.92349","45.04478","41.63992","43.56977","",
"Burkina Faso","BFA","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","44.4519","47.15783","47.18339","45.03279","47.49876","47.10611","47.78169","49.92135","52.32026","52.9596","54.48514","59.78713","60.34866","57.70058","56.49009","57.7585","67.54567","64.77544","57.35904","55.1772","56.65663","57.83011","59.77943","58.25553","50.97969","49.93909","","46.50149","49.00318","48.8764","47.4189","45.37812","44.65893","48.69293","47.17637","45.83142","47.65745","48.92155","48.90026","52.39988","52.68641","48.23903","46.09623","44.49899","42.17715","41.54927","40.68126","",
"Bangladesh","BGD","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","46.48234","42.97594","47.0079","50.04371","51.55862","50.692","50.29924","47.18294","44.15567","43.92033","53.55663","55.27225","","51.40402","46.95204","46.97363","47.83636","48.07506","57.8659","60.39131","63.00499","","","","","","","","","","","","","","","47.03943","47.53901","44.75494","43.72919","45.75844","42.97476","","","","","","","30.05456","",
